displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
Denver Broncos,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,244.0
Cleveland Browns,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,344.0
San Diego Chargers,3.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,306.0
Detroit Lions,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,345.0
Pittsburgh Steelers,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,338.0
Buffalo Bills,4.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,387.0
Washington Redskins,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,352.0
Miami Dolphins,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,353.0
Seattle Seahawks,3.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,361.0
San Francisco 49ers,2.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,370.0
Atlanta Falcons,3.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,378.0
Arizona Cardinals,3.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,383.0
New Orleans Saints,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,369.0
Houston Texans,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,386.0
Chicago Bears,3.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,390.0
Kansas City Chiefs,5.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,371.0
Tennessee Titans,2.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,435.0
Green Bay Packers,3.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,415.0
Minnesota Vikings,3.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,360.0
New York Giants,3.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,342.0
Carolina Panthers,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,356.0
Tampa Bay Buccaneers,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,385.0
St. Louis Rams,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,469.0
Oakland Raiders,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,357.0
New England Patriots,3.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,463.0
Indianapolis Colts,2.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,422.0
Cincinnati Bengals,2.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,394.0
Philadelphia Eagles,3.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,456.0
